Whichofthefollowingsocialmediaplatformsdoyouregularlyuse,Whichdevicedoyoucommonlyusewhenaccessingsocialmediaplatforms,HowlonghaveyoubeenonFacebook,HowlonghaveyoubeenonInstagram,HowmanydaysperweekdoyouaccessFacebook,HowmanydaysperweekdoyouaccessInstagram,HowmuchtimeperdaydoyouspendonFacebook,HowmuchtimeperdaydoyouspendonInstagram,HowmanyfriendsdoyouhaveonFacebook,HowmanyfollowersdoyouhaveonInstagram,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M12B,M14,M15,M16,M16B,M18,M19,M20,M21,M22,M22B,A1,A2,A3,A4,A5,A6,A7,A8,A9,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,C1,C2,C3,C4,C5,C6,C7,CON1,CON2,CON3,CON4,CON5,IMP1,IMP2,IMP3,IMP4,IMP5,Whatisyourage,Age3Groups,Gender,WhatisyourestimatedmonthlyincomeInUSD,Whatisyourhighesteducationlevelachieved,Whatisyourcurrentemploymentstatus,Whatsyourmaritalstatus,Pos,Non,Env,View,SMEngagement,CreationSMContent,SMADV,SMBGC,SMUGC,Firstmatfactor,Secondmatfactor,Thirdmatfactor,Fourthmatfactor,Fifthmatfactor,Att1,Att2,Att3,Att4,Att5,Att6,Att7,SMI1,SMI2,SMI3,SMI4,SMI5,SMI6,SMI7,csummatedscale,consummatedscale,impsummatedscale,matsummated,smisummated,SMCSummated
Facebook,Tablets,5,5,5,5,5,5,5,5,3,2,2,2,2,3,2,3,3,2,2,3,3,3,3,2,3,2,3,3,3,2,3,3,3,3,3,4,3,3,4,3,2,3,3,3,3,3,3,2,3,2,1,1,2,1,3,1,3,2,3,1,3,4,3,4,3,3,2,3,2,4,4,4,4,4,2,3,3,2,3,2,3,3,4,4,3,3,4,2,4,4,4,4,4,3,3,4,4,4,3,2,3,4,3,4,4,3,4,2,2,2,2,3,2,2,4,2,1,Female,1,2,Student,Never married,2.44,2.57,2.71,3.57,3.00,3.47,3.22,2.70,1.80,2.20,2.60,2.75,2.50,2.80,3.20,3.25,2.80,2.60,1.25,2.25,2.00,3.40,2.80,3.60,2.60,3.40,3.40,3.75,3.29,2.60,2.60,2.58,3.28,2.55
Facebook,Smartphones,5,5,5,5,5,5,5,5,2,2,3,2,3,2,2,3,3,3,3,2,2,2,2,3,2,2,2,3,2,3,2,4,4,3,2,4,3,2,2,3,3,2,2,2,3,3,2,4,3,2,3,1,1,1,3,3,1,2,1,3,2,3,2,4,2,3,2,2,2,4,3,2,2,4,3,2,2,3,3,3,3,3,2,3,2,4,2,3,2,3,4,2,3,2,2,4,4,4,2,2,2,4,4,2,4,2,3,3,2,2,2,3,4,3,2,3,1,Male,1,3,Student,Never married,2.44,2.43,2.29,2.86,2.77,2.71,3.00,2.60,1.90,2.40,2.60,2.25,2.25,2.40,3.40,2.50,2.40,2.80,1.50,2.25,2.00,2.60,2.60,2.80,2.60,2.60,2.80,3.13,2.86,2.40,2.80,2.39,2.80,2.48
Instagram,Smartphones,5,4,5,5,4,2,4,2,2,3,3,3,2,2,3,2,3,2,2,2,2,2,2,2,2,3,2,2,2,3,2,3,4,4,3,3,3,4,2,4,2,2,4,3,2,2,2,4,4,3,2,2,1,3,3,3,1,2,2,2,4,2,4,4,3,4,2,2,2,3,2,2,3,4,4,2,3,3,2,2,4,3,4,3,3,2,3,3,2,2,3,4,2,3,4,2,2,3,2,3,4,3,4,2,3,4,2,4,4,3,2,2,2,3,4,3,1,Male,4,5,Self-employed,Never married,2.56,2.00,2.29,2.86,2.85,2.82,3.33,2.80,2.10,2.60,2.40,2.00,2.25,2.20,3.40,3.25,2.60,3.00,2.00,2.25,2.00,3.40,2.60,3.00,2.40,3.40,2.40,2.88,3.00,3.40,2.60,2.28,2.86,2.72
Line,Tablets,5,5,5,5,4,5,5,5,3,2,3,2,2,2,2,3,3,2,2,2,3,3,2,2,2,3,3,3,3,2,2,3,2,4,3,2,3,4,3,3,3,2,4,2,2,4,3,3,2,2,3,3,3,2,1,1,3,3,3,2,4,4,2,3,4,3,2,4,3,2,3,2,2,4,2,2,2,4,2,2,2,4,2,3,2,2,4,4,3,4,2,3,3,2,3,2,3,3,2,3,4,2,4,3,4,2,4,4,2,2,2,3,3,3,3,3,1,Female,5,3,Student,Never married,2.44,2.29,2.57,3.14,2.77,2.65,3.00,2.70,2.40,2.40,2.40,2.50,2.25,2.60,2.80,3.25,2.60,2.80,2.75,2.00,2.50,3.40,2.80,2.60,2.40,2.60,3.40,2.63,3.14,2.80,2.80,2.43,2.85,2.69
Instagram,Smartphones,5,5,1,5,1,2,5,3,3,3,3,2,2,2,3,2,3,3,2,2,3,3,3,3,3,3,3,2,2,3,3,4,2,4,2,3,4,4,2,4,4,3,4,4,4,3,4,3,4,2,2,1,2,2,1,1,2,2,1,3,2,3,2,4,4,2,2,3,2,3,3,3,3,2,3,3,2,4,2,4,2,2,3,4,4,4,4,4,4,2,4,2,2,2,3,4,3,4,3,2,3,3,4,4,3,2,4,4,2,4,4,3,4,3,2,4,2,Female,1,2,Employed part time (up to 39 hours per week),Never married,2.56,2.71,2.71,2.57,2.85,3.12,3.22,3.50,1.70,2.60,2.60,2.50,3.00,2.60,3.00,3.50,3.80,3.20,1.75,1.50,2.00,3.00,2.40,2.80,3.00,3.00,3.60,3.00,3.14,3.20,3.20,2.66,2.88,2.79
Youtube,Smartphones,5,5,5,5,4,4,5,4,3,3,2,3,2,3,2,2,3,3,2,2,3,3,2,3,2,2,3,2,3,2,2,2,4,3,2,4,3,3,3,3,4,4,3,3,3,4,2,2,3,3,1,3,1,1,2,3,3,1,2,3,3,2,2,4,2,4,2,3,2,2,3,3,3,4,4,3,2,4,4,3,4,2,3,2,3,3,2,4,3,2,4,4,4,3,2,4,4,3,3,2,2,4,4,3,2,4,4,3,4,4,3,3,3,4,2,4,2,Female,4,5,Employed part time (up to 39 hours per week),Married,2.56,2.57,2.29,2.86,2.85,3.24,3.00,3.10,2.00,2.60,2.60,2.50,2.25,2.40,3.00,3.00,3.40,2.80,1.50,2.25,2.50,2.60,2.60,3.40,3.20,2.80,2.80,3.50,2.86,3.80,3.00,2.47,2.98,2.69
Youtube,Smartphones,5,5,4,5,5,5,5,5,2,2,3,2,3,3,3,2,3,2,2,3,2,2,3,3,2,3,3,2,2,2,2,2,4,3,3,2,4,2,3,2,4,4,2,3,4,2,4,2,4,2,1,1,2,2,2,1,2,1,2,2,2,3,2,4,2,4,3,3,2,4,2,2,4,3,2,3,2,2,2,2,2,4,2,2,3,3,4,4,4,2,2,3,3,4,4,2,3,4,3,4,4,2,2,2,3,4,3,4,2,4,4,2,4,3,3,3,2,Female,3,4,Employed part time (up to 39 hours per week),Never married,2.56,2.43,2.29,2.43,3.15,2.82,2.78,3.10,1.60,2.40,2.60,2.25,2.75,2.20,2.80,2.75,3.40,2.80,1.50,1.50,2.00,2.60,3.20,2.60,2.20,2.60,3.40,3.13,2.86,3.40,3.20,2.42,2.95,2.48
Line,Smartphones,5,2,3,5,2,5,5,4,2,2,3,3,2,2,2,3,2,2,3,2,2,2,3,2,3,3,3,2,2,2,3,3,2,4,2,4,3,3,2,2,4,2,2,3,3,4,3,2,3,3,1,3,3,1,2,1,2,1,2,3,2,3,4,4,3,4,3,4,3,4,3,4,3,4,4,2,2,4,3,2,2,3,2,2,4,4,2,3,4,2,3,2,3,3,4,2,3,3,4,3,3,4,2,3,3,4,3,2,3,2,2,4,3,3,3,2,1,Male,2,3,Student,Never married,2.33,2.29,2.57,2.71,3.00,3.24,2.78,2.90,1.90,2.40,2.20,2.25,2.75,2.40,3.00,2.50,2.80,3.00,2.00,1.50,2.50,3.20,3.60,3.60,2.60,2.60,3.00,2.88,3.14,2.80,3.00,2.40,3.01,2.52
Line,Tablets,5,4,5,5,5,3,2,3,2,2,2,2,3,2,3,3,3,2,3,2,3,3,3,2,2,2,3,2,3,2,3,4,4,2,3,2,3,2,3,3,3,4,3,3,3,2,3,4,4,2,3,2,3,3,2,2,2,1,3,3,4,3,4,4,3,2,4,2,4,3,2,2,2,2,3,3,4,2,2,4,4,2,3,2,2,2,4,4,4,4,4,2,4,4,3,3,3,2,3,3,2,2,2,2,3,2,2,2,3,3,3,4,3,3,3,4,2,Male,5,5,Employed part time (up to 39 hours per week),Married,2.44,2.57,2.43,3.29,3.23,2.76,2.89,3.10,2.40,2.20,2.60,2.75,2.25,2.60,3.00,2.75,3.20,3.00,2.75,1.75,3.00,3.60,3.00,2.20,3.00,2.60,3.60,3.13,2.43,2.40,3.20,2.48,3.13,2.79
Line,Tablets,5,4,5,5,5,3,2,3,3,3,3,3,2,2,2,3,3,2,3,2,2,3,2,2,3,2,2,2,2,2,3,2,3,4,4,2,2,4,2,3,4,3,2,2,2,2,2,4,4,3,2,3,1,2,3,3,2,1,1,3,3,3,4,2,4,3,4,4,4,2,3,3,3,4,4,2,2,3,4,3,4,3,3,3,2,3,4,2,4,3,3,4,4,3,3,2,2,2,2,2,3,2,4,2,4,4,2,4,4,2,2,3,4,3,3,4,2,Male,5,5,Employed part time (up to 39 hours per week),Married,2.67,2.29,2.29,3.00,3.00,3.12,2.89,2.80,2.10,2.80,2.40,2.50,2.25,2.20,3.00,2.75,2.60,3.00,2.00,2.25,2.00,3.20,3.40,3.40,2.80,3.00,3.20,2.88,2.71,3.20,3.00,2.41,2.97,2.59
Instagram,Computers,5,5,5,5,4,4,5,5,3,3,2,2,3,2,3,3,2,3,3,3,2,3,3,3,2,3,3,2,2,2,3,4,4,4,3,4,2,4,3,2,3,2,3,3,3,2,3,2,3,3,2,1,3,1,3,1,1,1,2,3,2,4,2,2,4,3,2,3,3,3,2,3,2,2,4,3,2,3,2,4,4,2,3,2,2,2,2,3,4,3,4,4,3,4,2,4,4,2,3,4,3,2,3,4,4,2,2,4,4,4,4,2,2,3,4,3,1,Male,3,4,Self-employed,Never married,2.56,2.86,2.43,2.86,3.00,2.82,3.33,2.70,1.80,2.60,2.60,2.75,2.75,2.40,3.80,2.75,2.80,2.60,1.75,1.50,2.50,2.80,2.80,2.60,2.80,2.60,2.80,3.38,3.29,3.20,3.00,2.61,2.92,2.59
TikTok,Smartphones,5,5,4,5,4,5,5,5,3,2,3,2,3,3,3,3,3,3,2,2,2,3,3,3,2,2,2,3,3,2,3,3,2,4,2,3,4,4,3,3,2,4,2,4,3,3,4,2,2,4,2,1,2,1,1,3,1,3,3,1,3,4,4,4,2,3,3,4,2,4,3,3,2,4,3,2,3,3,2,3,4,4,4,2,3,2,3,4,4,4,3,4,3,4,4,3,4,2,4,2,2,4,3,2,4,2,2,4,4,4,3,4,4,4,4,3,1,Female,1,4,Unemployed,Never married,2.78,2.57,2.43,3.43,3.54,2.94,3.11,3.00,1.80,2.60,3.00,2.25,2.50,2.60,2.80,3.50,3.00,3.00,1.50,2.00,2.00,3.40,3.20,3.00,2.60,3.40,3.40,3.38,3.00,3.20,3.80,2.59,3.37,2.62
Line,Smartphones,5,5,5,5,5,5,5,5,3,2,3,2,2,2,3,3,2,3,3,3,2,2,2,3,3,3,2,2,2,3,3,3,2,3,3,2,4,4,4,3,2,2,2,2,2,4,4,2,3,2,1,2,3,2,2,2,2,2,3,3,3,4,2,2,2,4,4,4,4,4,2,3,3,2,4,4,3,4,4,3,2,3,3,2,3,2,4,4,2,2,4,4,3,3,2,2,3,3,4,3,3,3,3,3,4,2,4,4,3,4,2,4,4,2,4,2,1,Female,2,4,Student,Never married,2.44,2.57,2.57,2.71,3.23,2.94,3.11,2.50,2.20,2.40,2.60,2.50,2.75,2.40,2.60,3.75,2.00,3.00,2.00,2.00,3.00,2.60,4.00,2.80,3.60,2.60,2.80,3.00,3.29,3.40,3.20,2.53,3.01,2.59
Facebook,Smartphones,5,5,5,5,5,5,5,5,3,2,2,2,2,2,2,3,2,2,3,3,2,3,3,2,3,3,2,2,3,2,3,3,2,3,2,2,2,3,2,3,2,2,3,4,2,3,4,2,4,2,2,2,3,3,1,1,2,1,1,2,4,2,3,2,2,3,2,2,3,4,4,4,4,3,2,3,4,2,2,4,3,3,4,2,2,3,3,3,4,3,3,4,3,3,2,3,2,4,3,3,3,4,3,3,4,3,3,3,4,3,3,3,4,4,4,3,1,Male,3,4,Employed part time (up to 39 hours per week),Never married,2.22,2.57,2.57,3.00,3.00,3.00,2.44,2.80,1.80,2.20,2.20,2.75,2.75,2.40,2.40,2.50,2.60,3.00,2.50,1.25,1.50,2.60,2.80,3.40,3.00,2.80,3.20,3.00,3.29,3.20,3.60,2.46,2.98,2.34
Facebook,Smartphones,5,5,5,5,5,4,5,5,2,2,2,2,2,2,3,2,2,2,3,3,3,3,3,3,2,3,2,3,2,3,2,4,3,2,3,4,2,2,3,4,2,3,2,3,4,4,2,2,2,3,3,2,3,3,2,2,1,1,2,3,4,3,3,4,4,3,2,4,4,4,2,3,2,2,3,2,2,2,3,2,3,4,4,3,4,2,4,4,2,4,2,3,3,2,4,3,4,4,4,3,4,2,4,3,3,2,2,4,3,4,4,2,2,3,4,6,3,Male,0,2,Student,Never married,2.11,2.86,2.43,3.00,3.46,2.71,3.00,2.70,2.20,2.00,2.20,3.00,2.75,2.40,3.20,2.75,2.80,2.60,2.75,1.50,2.50,3.60,3.40,2.40,2.20,3.60,3.20,3.13,3.29,3.00,3.00,2.47,3.17,2.62
Whatsapp,Smartphones,5,5,5,5,5,5,5,5,2,2,2,3,2,3,2,3,3,3,3,3,3,3,2,3,2,3,3,2,2,2,3,3,3,4,4,2,3,2,2,2,2,2,3,2,3,3,2,2,4,4,1,3,2,1,1,3,2,1,2,3,4,4,4,3,2,3,2,3,3,2,4,2,4,2,4,2,3,2,2,2,3,2,2,2,4,2,2,2,2,2,4,4,2,4,3,4,2,4,4,3,2,4,3,4,4,3,3,2,3,4,4,3,2,2,3,7,3,Male,5,4,Self-employed,Never married,2.44,2.86,2.43,3.14,2.62,2.88,2.78,2.70,1.90,2.20,2.80,3.00,2.50,2.40,3.20,2.25,2.40,3.00,1.75,1.75,2.50,3.40,2.60,3.20,2.20,2.60,2.00,3.38,3.43,3.00,2.80,2.58,2.85,2.45
Facebook,Smartphones,5,5,4,3,5,4,5,5,2,2,2,3,3,2,2,3,2,3,3,3,2,2,2,3,2,2,3,2,2,3,2,4,4,4,3,3,3,2,4,2,2,3,2,4,3,2,4,4,2,4,1,1,2,1,1,3,2,1,2,1,2,4,2,3,4,4,2,4,3,3,4,4,4,3,2,2,4,2,4,2,3,4,2,4,3,4,4,3,3,3,4,4,2,2,3,2,4,2,3,2,3,3,3,2,3,4,2,4,3,4,3,2,2,2,4,7,3,Female,4,3,Employed part time (up to 39 hours per week),Never married,2.33,2.57,2.29,2.57,2.85,3.47,3.22,3.00,1.50,2.40,2.40,2.50,2.25,2.40,3.60,2.75,2.80,3.20,1.25,1.75,1.50,3.00,3.20,3.40,2.80,3.20,3.40,2.88,2.71,3.40,2.60,2.40,2.93,2.55
Facebook,Smartphones,5,5,5,5,5,5,5,5,2,3,2,2,3,3,2,2,2,2,3,2,3,2,2,3,2,2,3,3,3,2,2,2,2,3,2,4,3,2,2,4,4,3,4,3,3,2,2,4,2,2,1,2,1,1,2,3,1,1,2,1,3,4,2,3,2,2,3,2,4,4,4,3,2,2,2,4,4,4,4,2,4,3,2,2,2,3,3,2,4,3,4,4,2,3,3,2,4,2,2,4,3,2,3,4,3,3,4,2,3,4,4,4,4,3,2,7,3,Female,1,3,Student,Never married,2.33,2.43,2.43,2.86,2.92,3.06,2.67,2.90,1.50,2.40,2.20,2.50,2.25,2.60,2.60,2.75,3.40,2.40,1.25,1.75,1.50,2.80,3.00,2.60,3.60,2.60,3.00,3.00,3.00,3.20,3.40,2.40,2.93,2.34
Facebook,Smartphones,5,5,5,5,4,4,5,4,3,2,3,2,2,3,3,2,2,2,3,2,3,3,3,2,3,3,2,3,3,3,3,2,2,2,4,4,3,3,3,3,4,3,2,4,2,3,2,3,3,3,3,1,2,3,1,2,3,3,2,1,4,3,3,2,4,2,3,2,2,3,4,2,4,2,3,2,3,3,3,2,3,4,3,2,3,3,3,2,4,3,3,4,2,4,3,3,4,3,4,3,4,2,3,4,4,4,4,2,2,4,4,4,4,4,2,4,2,Female,4,5,Employed part time (up to 39 hours per week),Married,2.44,2.57,2.86,2.86,2.92,3.06,2.89,2.90,2.10,2.40,2.40,2.75,2.75,2.80,2.80,3.00,3.00,2.80,2.25,2.25,1.50,3.20,2.40,3.00,2.60,3.00,3.00,3.25,3.43,3.20,3.60,2.62,2.97,2.62
Facebook,Smartphones,5,5,5,5,5,4,5,5,3,3,3,2,2,2,3,2,3,3,3,3,2,3,3,3,3,3,3,2,2,2,2,4,2,2,3,4,3,2,4,4,4,3,2,2,4,3,4,2,2,3,2,2,3,2,3,1,2,2,3,3,4,3,3,3,4,3,4,3,2,2,3,3,4,3,2,2,2,4,3,4,2,2,3,2,3,4,3,2,2,4,3,3,3,4,4,3,2,4,3,4,2,4,4,2,2,4,3,3,3,2,4,2,3,4,3,7,3,Male,0,2,Student,Never married,2.56,2.86,2.43,3.14,2.92,3.12,3.11,2.90,2.30,2.60,2.60,2.75,3.00,2.20,3.00,3.25,3.00,2.80,2.25,2.00,3.00,3.40,2.80,3.00,3.00,2.40,3.00,3.25,3.00,3.00,3.20,2.61,3.05,2.76
Facebook,Smartphones,5,5,5,5,5,5,5,5,3,3,2,3,2,3,2,2,2,3,3,2,3,2,2,3,2,3,2,2,2,3,2,3,3,3,2,2,2,2,4,2,3,3,3,2,4,4,3,4,2,3,3,2,2,1,1,3,2,1,3,1,2,3,2,2,2,4,4,4,4,2,3,2,3,2,3,3,2,4,2,2,3,3,2,2,3,3,3,3,3,3,3,2,3,2,3,3,3,2,3,4,2,2,3,4,2,3,4,3,2,4,4,3,4,3,4,6,3,Male,3,4,Employed part time (up to 39 hours per week),Never married,2.44,2.57,2.29,2.57,2.85,2.65,2.56,3.10,1.90,2.60,2.40,2.50,2.50,2.20,2.60,2.50,3.00,3.20,2.00,1.75,2.00,2.20,3.60,2.60,2.60,2.60,3.00,2.63,2.86,3.20,3.60,2.43,2.70,2.52
Line,Tablets,5,5,5,5,5,5,5,5,2,2,2,2,2,3,3,3,2,3,3,2,3,2,3,3,3,3,3,2,2,3,2,2,2,2,2,2,3,2,2,3,3,4,2,2,2,4,2,3,3,4,3,1,1,3,3,3,2,1,3,1,2,3,2,2,3,3,4,3,3,3,2,4,4,2,4,2,3,3,4,3,2,4,4,3,4,4,2,2,2,3,4,3,4,3,2,3,3,2,2,3,4,3,2,4,4,3,4,4,4,4,2,2,4,3,2,7,3,Female,4,5,Employed Full Time (40 or more hours per week),Married,2.33,2.71,2.57,2.43,2.92,3.24,2.22,2.90,2.10,2.00,2.80,2.50,3.00,2.40,2.00,2.50,2.60,3.20,2.00,2.25,2.00,2.40,3.20,3.20,3.00,3.40,2.60,3.00,3.14,3.80,2.60,2.54,2.83,2.41
Youtube,Smartphones,5,4,4,4,5,4,5,4,3,2,2,2,2,2,3,3,2,2,2,3,3,2,3,3,3,3,2,3,2,3,3,4,3,2,3,4,2,4,3,4,2,3,4,4,4,4,2,3,2,2,2,2,1,3,2,1,2,2,3,1,2,2,4,2,4,4,3,4,4,4,4,4,3,2,3,3,4,4,4,2,3,2,2,3,4,4,3,2,4,3,4,4,2,3,3,2,2,4,2,2,3,2,2,3,2,2,2,2,2,2,3,3,3,4,4,2,1,Female,2,4,Employed part time (up to 39 hours per week),Never married,2.33,2.57,2.71,2.57,2.92,3.59,3.22,3.00,1.90,2.20,2.40,2.50,3.00,2.60,3.20,3.25,3.40,2.60,2.00,1.75,2.00,2.80,3.80,3.20,3.40,2.80,3.20,3.00,2.29,2.00,3.40,2.54,2.99,2.69
Youtube,Smartphones,5,5,5,5,5,5,5,5,3,3,2,3,3,2,3,2,3,3,3,2,2,2,3,3,3,3,3,3,2,3,3,3,2,3,2,2,2,2,4,4,4,2,2,4,2,2,4,3,3,2,1,2,3,3,3,1,1,3,1,3,4,4,3,4,2,4,3,4,4,2,2,2,2,3,4,2,2,2,2,3,4,3,3,3,2,3,3,3,3,2,4,2,3,2,3,2,3,4,3,2,3,3,2,3,2,2,2,4,2,4,2,4,4,2,3,2,1,Female,4,4,Student,Never married,2.67,2.57,2.86,2.86,3.15,2.59,2.67,2.80,2.10,2.80,2.60,2.25,3.00,2.80,2.40,3.00,2.80,2.80,2.25,2.00,2.00,3.40,3.40,2.60,2.20,3.00,2.80,2.88,2.57,2.80,3.00,2.70,2.92,2.52
Line,Smartphones,5,5,5,4,4,3,5,3,3,2,2,2,3,3,3,2,3,2,3,3,3,2,2,3,2,2,2,3,2,2,3,4,2,2,2,2,3,4,2,3,2,4,4,3,3,3,3,2,2,2,1,3,2,1,2,1,3,1,3,1,4,2,2,2,3,3,3,4,4,2,2,3,4,3,4,4,4,3,3,4,3,4,2,4,2,2,3,2,4,2,2,3,4,2,2,2,2,4,4,3,2,4,4,4,4,4,4,2,2,4,4,4,3,3,4,4,2,Female,5,4,Employed Full Time (40 or more hours per week),Married,2.56,2.57,2.29,2.71,2.92,2.94,2.67,2.80,1.80,2.40,2.60,2.75,2.25,2.40,2.40,3.00,3.20,2.40,1.75,1.75,2.00,2.60,3.20,3.20,3.60,3.00,2.60,2.63,3.57,3.20,3.60,2.47,2.83,2.41
TikTok,Computers,5,5,5,5,5,5,5,5,3,3,2,3,2,3,2,2,2,3,3,2,2,3,3,2,2,2,2,3,3,3,3,4,3,3,3,2,2,3,3,2,4,3,4,4,4,4,2,4,3,4,2,1,3,2,1,1,1,1,1,1,3,4,3,4,3,4,4,4,4,3,2,4,4,2,4,3,4,2,4,2,3,4,4,2,4,4,4,2,4,3,2,4,4,3,3,2,4,2,4,3,3,2,3,3,3,2,3,3,3,2,2,2,2,2,2,4,2,Female,7,6,Self-employed,Divorced,2.44,2.57,2.57,2.86,3.23,3.41,2.78,3.60,1.40,2.60,2.40,2.50,2.25,2.80,3.00,2.50,3.80,3.40,2.00,1.00,1.00,3.40,3.80,3.20,3.00,3.40,3.40,3.00,3.00,2.60,2.00,2.53,3.14,2.59
Instagram,Smartphones,5,4,5,5,4,2,4,2,2,2,2,2,3,2,2,3,3,2,2,2,2,3,3,2,3,3,2,3,2,3,3,4,3,4,3,4,4,4,3,3,3,4,3,4,4,2,2,2,3,3,2,1,1,3,1,3,3,1,2,1,4,4,4,3,4,3,3,4,3,3,2,2,4,2,3,4,3,3,4,4,2,3,4,2,4,3,3,3,4,3,3,3,4,4,3,3,4,3,3,2,4,3,2,2,4,4,4,2,2,4,2,4,4,2,4,3,1,Female,4,5,Self-employed,Never married,2.33,2.29,2.71,3.43,3.31,3.24,3.56,3.00,1.80,2.20,2.40,2.25,2.75,2.60,3.60,3.50,3.60,2.40,1.75,2.00,1.50,3.80,3.20,2.60,3.60,3.00,3.20,3.38,2.86,3.20,3.20,2.44,3.33,2.76
Facebook,Smartphones,5,5,5,5,5,4,5,5,2,2,3,2,3,2,2,2,3,3,3,2,2,3,3,2,3,3,2,3,2,2,3,4,4,2,3,3,4,3,3,4,3,4,3,2,2,4,4,3,2,3,2,1,1,2,1,1,2,3,2,3,3,4,2,4,4,3,3,4,2,3,3,4,4,2,3,3,4,2,3,2,2,3,3,4,2,2,2,4,3,3,3,2,3,3,4,2,2,4,4,3,2,2,2,2,4,2,4,4,3,2,2,3,3,4,3,2,1,Female,0,2,Student,Never married,2.33,2.57,2.57,2.71,3.00,3.12,3.33,3.00,1.80,2.40,2.40,2.50,2.75,2.40,3.20,3.50,2.80,3.20,1.50,1.75,2.50,3.40,3.00,3.20,2.80,2.80,2.80,2.88,2.71,3.00,3.00,2.49,3.00,2.69
Line,Tablets,5,5,5,5,5,5,5,5,3,3,2,2,3,3,3,3,3,2,3,2,3,3,3,3,2,3,3,2,3,2,3,4,3,2,3,3,4,2,2,2,3,4,2,4,4,3,4,2,3,2,1,1,3,3,2,3,2,3,1,2,2,2,2,3,2,2,4,4,2,3,4,2,4,2,3,3,3,4,2,4,4,2,3,2,2,2,2,3,4,2,2,4,2,4,3,3,3,2,3,3,3,4,2,2,2,2,2,4,2,4,2,4,4,2,2,3,1,Female,4,5,Employed Full Time (40 or more hours per week),Married,2.78,2.71,2.57,2.29,3.15,2.82,2.78,3.10,2.10,2.60,2.80,2.75,2.75,2.60,3.00,2.50,3.40,2.80,2.00,2.50,1.50,2.20,3.00,3.00,3.20,2.60,2.60,2.88,2.71,2.80,2.80,2.69,2.84,2.66
Facebook,Smartphones,5,5,5,5,5,5,5,5,2,3,3,3,3,3,2,2,2,2,3,2,2,3,3,2,2,3,2,3,2,2,3,3,3,3,2,2,3,2,2,4,4,3,3,2,4,3,3,4,2,2,1,2,3,2,3,2,1,1,3,3,2,4,3,2,4,3,4,3,2,4,4,3,4,4,2,2,3,2,4,2,2,4,4,2,3,4,4,2,3,4,2,3,3,3,4,3,2,3,2,3,3,4,3,3,3,2,2,4,2,2,2,3,2,4,3,3,1,Female,1,3,Student,Never married,2.56,2.43,2.43,3.14,3.00,3.06,2.67,3.00,2.10,2.80,2.20,2.50,2.50,2.40,2.60,2.75,3.20,2.80,2.00,1.75,3.00,3.00,3.20,3.40,2.60,3.00,3.40,2.88,3.00,2.40,2.80,2.47,3.03,2.59
Instagram,Smartphones,5,5,5,5,4,4,5,4,2,3,2,2,3,3,2,2,3,2,3,2,2,2,2,3,2,2,3,3,3,3,2,3,2,4,2,3,2,4,4,4,2,3,2,2,3,2,4,4,2,2,1,3,3,3,2,3,3,3,2,1,4,3,4,4,4,3,3,3,3,2,4,4,3,4,2,2,4,4,2,2,2,2,3,3,4,2,2,2,2,3,4,4,4,2,2,4,3,2,3,3,4,3,4,2,3,3,2,4,2,4,4,2,3,2,4,4,2,Male,4,5,Employed part time (up to 39 hours per week),Married,2.44,2.29,2.57,3.43,2.38,3.35,3.11,2.60,2.40,2.40,2.40,2.25,2.25,2.80,2.80,3.50,2.40,2.80,2.50,2.75,1.50,3.80,2.80,3.40,2.80,2.80,2.20,3.13,3.14,3.00,3.00,2.43,2.87,2.69
Twitter,Tablets,5,5,5,5,5,5,5,5,3,2,3,2,2,2,3,2,2,3,2,2,2,3,3,2,3,2,2,2,2,2,3,3,4,4,2,3,3,4,3,3,4,2,2,3,3,2,3,3,2,2,1,3,2,3,3,2,3,3,3,3,3,2,4,3,4,2,4,4,4,2,3,4,3,3,2,4,3,3,4,4,2,3,4,2,2,2,3,2,2,3,2,3,3,4,4,2,4,3,2,2,4,3,3,2,3,2,4,4,3,3,4,3,2,4,4,3,1,Male,4,5,Employed Full Time (40 or more hours per week),Married,2.33,2.43,2.29,3.00,3.38,2.88,3.22,2.60,2.60,2.40,2.40,2.25,2.50,2.20,3.20,3.25,2.80,2.40,2.25,2.75,3.00,3.20,3.20,3.00,3.60,2.60,2.40,3.13,2.71,3.20,3.40,2.35,3.16,2.79
